ds,t,y
2005-01-01,48.1,38596.0
2005-01-02,50.9,39528.0
2005-01-03,55.8,47581.0
2005-01-04,42.5,50831.0
2005-01-05,36.3,54399.0
2005-01-06,33.5,51669.0
2005-01-07,29.0,52895.0
2005-01-08,32.6,47952.0
2005-01-09,35.7,44505.0
2005-01-10,37.8,52477.0
2005-01-11,41.6,52439.0
2005-01-12,58.2,49460.0
2005-01-13,59.3,49768.0
2005-01-14,29.7,54347.0
2005-01-15,21.1,50874.0
2005-01-16,18.8,51104.0
2005-01-17,7.5,61745.0
2005-01-18,6.1,63952.0
2005-01-19,23.9,60207.0
2005-01-20,25.4,57996.0
2005-01-21,15.3,58634.0
2005-01-22,19.4,54266.0
2005-01-23,6.2,55478.0
2005-01-24,12.6,61813.0
2005-01-25,27.8,56441.0
2005-01-26,35.5,55926.0
2005-01-27,14.9,60732.0
2005-01-28,13.3,60674.0
2005-01-29,27.4,51031.0
2005-01-30,30.0,46785.0
2005-01-31,19.1,57349.0
2005-02-01,21.8,56441.0
2005-02-02,22.7,57246.0
2005-02-03,27.9,56228.0
2005-02-04,31.6,53047.0
2005-02-05,36.3,45921.0
2005-02-06,39.1,43386.0
2005-02-07,44.7,51203.0
2005-02-08,45.2,51740.0
2005-02-09,35.6,53586.0
2005-02-10,27.5,56721.0
2005-02-11,24.9,57230.0
2005-02-12,35.9,46570.0
2005-02-13,37.6,44808.0
2005-02-14,46.4,51151.0
2005-02-15,47.6,50046.0
2005-02-16,39.7,52203.0
2005-02-17,28.2,56408.0
2005-02-18,22.2,56143.0
2005-02-19,23.9,50198.0
2005-02-20,34.9,45774.0
2005-02-21,42.5,51042.0
2005-02-22,35.0,53396.0
2005-02-23,30.3,54338.0
2005-02-24,27.8,55495.0
2005-02-25,24.4,55193.0
2005-02-26,34.2,45312.0
2005-02-27,28.8,45316.0
2005-02-28,36.8,52421.0
2005-03-01,26.6,57543.0
2005-03-02,21.1,57687.0
2005-03-03,22.4,55885.0
2005-03-04,26.9,54494.0
2005-03-05,35.3,45789.0
2005-03-06,39.6,42568.0
2005-03-07,50.4,49132.0
2005-03-08,27.0,55461.0
2005-03-09,22.5,56583.0
2005-03-10,23.1,57165.0
2005-03-11,32.3,54184.0
2005-03-12,29.6,48416.0
2005-03-13,27.4,45324.0
2005-03-14,29.2,53054.0
2005-03-15,33.0,52598.0
2005-03-16,33.0,52083.0
2005-03-17,40.3,50593.0
2005-03-18,44.3,48710.0
2005-03-19,44.8,43287.0
2005-03-20,37.5,43256.0
2005-03-21,33.9,51285.0
2005-03-22,36.0,52038.0
2005-03-23,36.7,53758.0
2005-03-24,35.0,51464.0
2005-03-25,39.7,45352.0
2005-03-26,40.2,41224.0
2005-03-27,40.2,39882.0
2005-03-28,42.8,48947.0
2005-03-29,44.4,48839.0
2005-03-30,56.3,47051.0
2005-03-31,60.8,45965.0
